concept1,ICD9CM,relationship1,concept2,SNOMED,relationship2,concept3,ICD10CM
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, unspecified knee, with tophus (tophi)",M1A.4691
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, unspecified knee, with tophus (tophi)",M1A.4691
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, unspecified knee, with tophus (tophi)",M1A.4691
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified shoulder, without tophus (tophi)",M1A.4190
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified shoulder, without tophus (tophi)",M1A.4190
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left elbow, without tophus (tophi)",M1A.4220
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left elbow, without tophus (tophi)",M1A.4220
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right hand, with tophus (tophi)",M1A.2411
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right hand, with tophus (tophi)",M1A.2411
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, right hand, with tophus (tophi)",M1A.2411
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, right hand, with tophus (tophi)",M1A.2411
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, right hand, with tophus (tophi)",M1A.2411
Gout with other specified manifestations,274.89,Maps to,Gout associated problem,170737008,Mapped from,"Other secondary gout, unspecified hand",M10.449
Gout with other specified manifestations,274.89,Maps to,Gout associated problem,170737008,Mapped from,"Other secondary gout, unspecified wrist",M10.439
Gouty nephropathy,274.1,Maps to,Chronic gouty nephropathy,190829000,Mapped from,"Gout due to renal impairment, right hand",M10.341
Gouty nephropathy,274.1,Maps to,Chronic gouty nephropathy,190829000,Mapped from,"Gout due to renal impairment, left elbow",M10.322
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, right elbow",M10.121
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, right elbow",M10.121
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, vertebrae",M10.08
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, vertebrae",M10.08
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, right knee",M10.061
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, right knee",M10.061
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, left hip",M10.052
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, left hip",M10.052
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, unspecified wrist",M10.139
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, unspecified wrist",M10.139
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right shoulder, without tophus (tophi)",M1A.4110
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right shoulder, without tophus (tophi)",M1A.4110
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, vertebrae, with tophus (tophi)",M1A.38X1
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, vertebrae, with tophus (tophi)",M1A.38X1
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, vertebrae, with tophus (tophi)",M1A.38X1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, vertebrae, with tophus (tophi)",M1A.38X1
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, vertebrae, with tophus (tophi)",M1A.38X1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left wrist, without tophus (tophi)",M1A.3320
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left wrist, without tophus (tophi)",M1A.3320
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right hand, without tophus (tophi)",M1A.2410
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right hand, without tophus (tophi)",M1A.2410
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified wrist, without tophus (tophi)",M1A.0390
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified wrist, without tophus (tophi)",M1A.0390
Gout with other specified manifestations,274.89,Maps to,Gout associated problem,170737008,Mapped from,"Other secondary gout, right shoulder",M10.411
Gouty nephropathy,274.1,Maps to,Chronic gouty nephropathy,190829000,Mapped from,"Gout due to renal impairment, unspecified shoulder",M10.319
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, unspecified hand",M10.149
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, unspecified hand",M10.149
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, left hand",M10.142
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, left hand",M10.142
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left ankle and foot, with tophus (tophi)",M1A.4721
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left ankle and foot, with tophus (tophi)",M1A.4721
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, left ankle and foot, with tophus (tophi)",M1A.4721
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, left ankle and foot, with tophus (tophi)",M1A.4721
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, left ankle and foot, with tophus (tophi)",M1A.4721
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, unspecified shoulder, with tophus (tophi)",M1A.4191
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, unspecified shoulder, with tophus (tophi)",M1A.4191
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, unspecified shoulder, with tophus (tophi)",M1A.4191
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified shoulder, with tophus (tophi)",M1A.4191
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified shoulder, with tophus (tophi)",M1A.4191
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified hand, without tophus (tophi)",M1A.3490
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified hand, without tophus (tophi)",M1A.3490
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified hand, with tophus (tophi)",M1A.2491
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified hand, with tophus (tophi)",M1A.2491
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, unspecified hand, with tophus (tophi)",M1A.2491
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, unspecified hand, with tophus (tophi)",M1A.2491
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, unspecified hand, with tophus (tophi)",M1A.2491
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left ankle and foot, without tophus (tophi)",M1A.4720
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left ankle and foot, without tophus (tophi)",M1A.4720
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left wrist, with tophus (tophi)",M1A.3321
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left wrist, with tophus (tophi)",M1A.3321
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, left wrist, with tophus (tophi)",M1A.3321
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, left wrist, with tophus (tophi)",M1A.3321
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, left wrist, with tophus (tophi)",M1A.3321
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, left wrist, with tophus (tophi)",M1A.2321
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, left wrist, with tophus (tophi)",M1A.2321
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, left wrist, with tophus (tophi)",M1A.2321
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left wrist, with tophus (tophi)",M1A.2321
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left wrist, with tophus (tophi)",M1A.2321
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, multiple sites",M10.09
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, unspecified ankle and foot, with tophus (tophi)",M1A.1791
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, unspecified ankle and foot, with tophus (tophi)",M1A.1791
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, unspecified ankle and foot, with tophus (tophi)",M1A.1791
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, unspecified hand, with tophus (tophi)",M1A.1491
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, unspecified hand, with tophus (tophi)",M1A.1491
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, unspecified hand, with tophus (tophi)",M1A.1491
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, left hip",M10.052
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, unspecified knee",M10.069
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, unspecified shoulder, with tophus (tophi)",M1A.1191
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, unspecified shoulder, with tophus (tophi)",M1A.1191
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, unspecified shoulder, with tophus (tophi)",M1A.1191
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, right shoulder, with tophus (tophi)",M1A.1111
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, right shoulder, with tophus (tophi)",M1A.1111
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, right shoulder, with tophus (tophi)",M1A.1111
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, right knee",M10.061
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, right knee, with tophus (tophi)",M1A.1611
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, right knee, with tophus (tophi)",M1A.1611
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, right knee, with tophus (tophi)",M1A.1611
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, left hand, with tophus (tophi)",M1A.1421
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, left hand, with tophus (tophi)",M1A.1421
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, left hand, with tophus (tophi)",M1A.1421
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, unspecified wrist, with tophus (tophi)",M1A.1391
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, unspecified wrist, with tophus (tophi)",M1A.1391
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, unspecified wrist, with tophus (tophi)",M1A.1391
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, unspecified wrist",M10.039
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, right hand, with tophus (tophi)",M1A.1411
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, right hand, with tophus (tophi)",M1A.1411
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, right hand, with tophus (tophi)",M1A.1411
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, unspecified hip, with tophus (tophi)",M1A.0591
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, right hip, with tophus (tophi)",M1A.0511
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, left wrist, with tophus (tophi)",M1A.1321
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, left wrist, with tophus (tophi)",M1A.1321
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, left wrist, with tophus (tophi)",M1A.1321
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, multiple sites, with tophus (tophi)",M1A.19X1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, multiple sites, with tophus (tophi)",M1A.19X1
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, multiple sites, with tophus (tophi)",M1A.19X1
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, left knee, with tophus (tophi)",M1A.0621
Gout with other specified manifestations,274.8,Maps to,Gout,90560007,Mapped from,"Chronic gout, unspecified, with tophus (tophi)",M1A.9XX1
"Gout, unspecified",274.9,Maps to,Gout,90560007,Mapped from,"Chronic gout, unspecified, with tophus (tophi)",M1A.9XX1
Gout,274,Maps to,Gout,90560007,Mapped from,"Chronic gout, unspecified, with tophus (tophi)",M1A.9XX1
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, vertebrae",M10.08
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, left shoulder, with tophus (tophi)",M1A.1121
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, left shoulder, with tophus (tophi)",M1A.1121
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, left shoulder, with tophus (tophi)",M1A.1121
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,Idiopathic gout,M10.0
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, elbow",M10.02
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, shoulder",M10.01
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, unspecified hand",M1A.049
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, unspecified site",M1A.00
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, hand",M10.04
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, ankle and foot",M10.07
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, left knee",M1A.062
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, left shoulder",M1A.012
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, unspecified hip",M1A.059
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, unspecified ankle and foot",M1A.079
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, multiple sites",M1A.09
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, left elbow",M1A.022
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, right wrist",M1A.031
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left ankle and foot, without tophus (tophi)",M1A.3720
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left ankle and foot, without tophus (tophi)",M1A.3720
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right shoulder, without tophus (tophi)",M1A.3110
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right shoulder, without tophus (tophi)",M1A.3110
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, vertebrae, without tophus (tophi)",M1A.28X0
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, vertebrae, without tophus (tophi)",M1A.28X0
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, right knee",M10.261
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, right knee",M10.261
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left knee, with tophus (tophi)",M1A.2621
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left knee, with tophus (tophi)",M1A.2621
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, left knee, with tophus (tophi)",M1A.2621
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, left knee, with tophus (tophi)",M1A.2621
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, left knee, with tophus (tophi)",M1A.2621
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left wrist, without tophus (tophi)",M1A.2320
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left wrist, without tophus (tophi)",M1A.2320
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, unspecified hand",M10.049
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, unspecified hand",M10.049
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified elbow, without tophus (tophi)",M1A.3290
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified elbow, without tophus (tophi)",M1A.3290
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right knee, without tophus (tophi)",M1A.2610
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right knee, without tophus (tophi)",M1A.2610
Gouty nephropathy,274.1,Maps to,Chronic gouty nephropathy,190829000,Mapped from,"Gout due to renal impairment, left ankle and foot",M10.372
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, right hand",M10.041
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, right hand",M10.041
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, unspecified hip, with tophus (tophi)",M1A.2591
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, unspecified hip, with tophus (tophi)",M1A.2591
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, unspecified hip, with tophus (tophi)",M1A.2591
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified hip, with tophus (tophi)",M1A.2591
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified hip, with tophus (tophi)",M1A.2591
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, unspecified shoulder",M10.219
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, unspecified shoulder",M10.219
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left wrist, without tophus (tophi)",M1A.4320
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left wrist, without tophus (tophi)",M1A.4320
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left elbow, with tophus (tophi)",M1A.4221
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left elbow, with tophus (tophi)",M1A.4221
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, left elbow, with tophus (tophi)",M1A.4221
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, left elbow, with tophus (tophi)",M1A.4221
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, left elbow, with tophus (tophi)",M1A.4221
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified site, with tophus (tophi)",M1A.20X1
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified site, with tophus (tophi)",M1A.20X1
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, unspecified site, with tophus (tophi)",M1A.20X1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, unspecified site, with tophus (tophi)",M1A.20X1
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, unspecified site, with tophus (tophi)",M1A.20X1
Gouty nephropathy,274.1,Maps to,Chronic gouty nephropathy,190829000,Mapped from,"Gout due to renal impairment, unspecified hand",M10.349
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, multiple sites",M10.29
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, multiple sites",M10.29
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right hand, without tophus (tophi)",M1A.4410
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right hand, without tophus (tophi)",M1A.4410
